SECTION: LEADERBOARD
rank,model,model_type,mean_brier,n_rows,parse_rate
1,gpt-5.4,reasoning,0.1367,684,1.0000
2,kimi-k2.6,reasoning,0.1401,684,0.9459
3,gemini-3.1-pro,reasoning,0.1427,684,0.9620
4,claude-opus-4.6,reasoning,0.1444,684,0.9868
5,grok-4.20,reasoning,0.1611,684,0.9971
6,deepseek-v3.2-speciale,reasoning,0.1624,684,0.9883
7,glm-5.1,standard,0.1729,684,0.9635
8,qwen3-max,reasoning,0.1758,715,0.9497
9,gemma-4-31b,standard,0.1786,684,0.9956
10,gemini-3-flash,standard,0.1796,684,1.0000
11,gpt-oss-120b,standard,0.1852,684,0.8567
12,mistral-large,standard,0.2151,684,0.9430

SECTION: BRIER BY MODEL x PROMPT x CONDITION (72 cells)
model,model_type,prompt,condition,mean_brier,n_rows,parse_rate,flagged_low_parse
deepseek-v3.2-speciale,reasoning,0.1712,0.1538,-0.0174
gemma-4-31b,standard,0.1869,0.1703,-0.0167
gpt-oss-120b,standard,0.1918,0.1788,-0.0130
mistral-large,standard,0.2188,0.2117,-0.0071

SECTION: REASONING VS STANDARD BY PROMPT x CONDITION
model_type,prompt,condition,mean_brier,n_rows
reasoning,P1,closed_book,0.1669,892
reasoning,P1,shared_evidence,0.1373,894
reasoning,P2,closed_book,0.1681,877
reasoning,P2,shared_evidence,0.1375,883
reasoning,P3,closed_book,0.1764,866
reasoning,P3,shared_evidence,0.1483,875
standard,P1,closed_book,0.1858,451
standard,P1,shared_evidence,0.1798,451
standard,P2,closed_book,0.1867,415
standard,P2,shared_evidence,0.1723,453
standard,P3,closed_book,0.2158,450
standard,P3,shared_evidence,0.1770,449

SECTION: CALIBRATION
model,mean_forecast,std_forecast,pct_below_01,pct_above_09,pct_01_to_09,n_forecasts
claude-opus-4.6,0.2198,0.2960,56.5926,6.2222,37.1852,675
deepseek-v3.2-speciale,0.3147,0.3062,30.7692,5.4734,63.7574,676
gemini-3-flash,0.3247,0.3023,30.7018,6.1404,63.1579,684
gemini-3.1-pro,0.2283,0.3033,53.3435,4.8632,41.7933,658
gemma-4-31b,0.3400,0.2934,23.6417,5.5800,70.7783,681
glm-5.1,0.2556,0.3081,47.3445,7.4355,45.2200,659
gpt-5.4,0.2561,0.2664,37.8655,4.8246,57.3099,684
gpt-oss-120b,0.2926,0.2999,36.0068,6.8259,57.1672,586
grok-4.20,0.3108,0.2443,18.9150,2.0528,79.0323,682
kimi-k2.6,0.2323,0.2572,42.5039,2.3184,55.1777,647
mistral-large,0.3982,0.2691,13.4884,3.5659,82.9457,645
qwen3-max,0.2579,0.3240,46.5390,7.2165,46.2445,679

SECTION: PARSE RELIABILITY
model,prompt,condition,n_total,n_success,n_fail,fail_pct,flagged
claude-opus-4.6,P1,closed_book,114,114,0,0.0000,
claude-opus-4.6,P1,shared_evidence,114,111,3,2.6316,
claude-opus-4.6,P2,closed_book,114,113,1,0.8772,
claude-opus-4.6,P2,shared_evidence,114,111,3,2.6316,
claude-opus-4.6,P3,closed_book,114,113,1,0.8772,
claude-opus-4.6,P3,shared_evidence,114,113,1,0.8772,
deepseek-v3.2-speciale,P1,closed_book,114,114,0,0.0000,
deepseek-v3.2-speciale,P1,shared_evidence,114,113,1,0.8772,
deepseek-v3.2-speciale,P2,closed_book,114,112,2,1.7544,
deepseek-v3.2-speciale,P2,shared_evidence,114,114,0,0.0000,
deepseek-v3.2-speciale,P3,closed_book,114,110,4,3.5088,
deepseek-v3.2-speciale,P3,shared_evidence,114,113,1,0.8772,
gemini-3-flash,P1,closed_book,114,114,0,0.0000,
gemini-3-flash,P1,shared_evidence,114,114,0,0.0000,
gemini-3-flash,P2,closed_book,114,114,0,0.0000,
gemini-3-flash,P2,shared_evidence,114,114,0,0.0000,
gemini-3-flash,P3,closed_book,114,114,0,0.0000,
gemini-3-flash,P3,shared_evidence,114,114,0,0.0000,
gemini-3.1-pro,P1,closed_book,114,112,2,1.7544,
gemini-3.1-pro,P1,shared_evidence,114,111,3,2.6316,
gemini-3.1-pro,P2,closed_book,114,111,3,2.6316,
gemini-3.1-pro,P2,shared_evidence,114,111,3,2.6316,
gemini-3.1-pro,P3,closed_book,114,108,6,5.2632,
gemini-3.1-pro,P3,shared_evidence,114,105,9,7.8947,
gemma-4-31b,P1,closed_book,114,111,3,2.6316,
gemma-4-31b,P1,shared_evidence,114,114,0,0.0000,
gemma-4-31b,P2,closed_book,114,114,0,0.0000,
gemma-4-31b,P2,shared_evidence,114,114,0,0.0000,
gemma-4-31b,P3,closed_book,114,114,0,0.0000,
gemma-4-31b,P3,shared_evidence,114,114,0,0.0000,
glm-5.1,P1,closed_book,114,112,2,1.7544,
glm-5.1,P1,shared_evidence,114,109,5,4.3860,
glm-5.1,P2,closed_book,114,108,6,5.2632,
glm-5.1,P2,shared_evidence,114,112,2,1.7544,
glm-5.1,P3,closed_book,114,109,5,4.3860,
glm-5.1,P3,shared_evidence,114,109,5,4.3860,
gpt-5.4,P1,closed_book,114,114,0,0.0000,
gpt-5.4,P1,shared_evidence,114,114,0,0.0000,
gpt-5.4,P2,closed_book,114,114,0,0.0000,
gpt-5.4,P2,shared_evidence,114,114,0,0.0000,
gpt-5.4,P3,closed_book,114,114,0,0.0000,
gpt-5.4,P3,shared_evidence,114,114,0,0.0000,
gpt-oss-120b,P1,closed_book,114,104,10,8.7719,
gpt-oss-120b,P1,shared_evidence,114,110,4,3.5088,
gpt-oss-120b,P2,closed_book,114,89,25,21.9298,YES
gpt-oss-120b,P2,shared_evidence,114,94,20,17.5439,YES
gpt-oss-120b,P3,closed_book,114,92,22,19.2982,YES
gpt-oss-120b,P3,shared_evidence,114,97,17,14.9123,YES
grok-4.20,P1,closed_book,114,114,0,0.0000,
grok-4.20,P1,shared_evidence,114,113,1,0.8772,
grok-4.20,P2,closed_book,114,114,0,0.0000,
grok-4.20,P2,shared_evidence,114,113,1,0.8772,
grok-4.20,P3,closed_book,114,114,0,0.0000,
grok-4.20,P3,shared_evidence,114,114,0,0.0000,
kimi-k2.6,P1,closed_book,114,106,8,7.0175,
kimi-k2.6,P1,shared_evidence,114,109,5,4.3860,
kimi-k2.6,P2,closed_book,114,111,3,2.6316,
kimi-k2.6,P2,shared_evidence,114,113,1,0.8772,
kimi-k2.6,P3,closed_book,114,102,12,10.5263,YES
kimi-k2.6,P3,shared_evidence,114,106,8,7.0175,
mistral-large,P1,closed_book,114,114,0,0.0000,
mistral-large,P1,shared_evidence,114,114,0,0.0000,
mistral-large,P2,closed_book,114,79,35,30.7018,YES
mistral-large,P2,shared_evidence,114,113,1,0.8772,
mistral-large,P3,closed_book,114,113,1,0.8772,
mistral-large,P3,shared_evidence,114,112,2,1.7544,
qwen3-max,P1,closed_book,114,114,0,0.0000,
qwen3-max,P1,shared_evidence,117,113,4,3.4188,
qwen3-max,P2,closed_book,121,113,8,6.6116,
qwen3-max,P2,shared_evidence,120,113,7,5.8333,
qwen3-max,P3,closed_book,124,113,11,8.8710,
qwen3-max,P3,shared_evidence,119,113,6,5.0420,

SECTION: LATENCY AND COST
model,mean_latency_s,mean_reasoning_tokens,mean_brier,brier_per_second
kimi-k2.6,246.57,7633.24,0.1401,0.0006
qwen3-max,246.17,8767.92,0.1758,0.0007
deepseek-v3.2-speciale,197.02,7071.16,0.1624,0.0008
glm-5.1,85.05,2325.39,0.1729,0.0020
gpt-oss-120b,83.84,4149.82,0.1852,0.0022
gpt-5.4,61.62,2972.85,0.1367,0.0022
gemini-3.1-pro,38.63,2332.40,0.1427,0.0037
claude-opus-4.6,39.06,859.02,0.1444,0.0037
gemma-4-31b,39.32,0.00,0.1786,0.0045
grok-4.20,28.48,1782.47,0.1611,0.0057
mistral-large,17.32,0.00,0.2151,0.0124
gemini-3-flash,5.53,0.00,0.1796,0.0324

SECTION: MARKET BASELINE COMPARISON (overall per model)
model,model_brier,market_brier,delta_model_minus_market,beats_market
claude-opus-4.6,0.1444,0.0926,0.0518,no
deepseek-v3.2-speciale,0.1624,0.0941,0.0683,no
gemini-3-flash,0.1796,0.0948,0.0847,no
gemini-3.1-pro,0.1427,0.0962,0.0465,no
gemma-4-31b,0.1786,0.0952,0.0833,no
glm-5.1,0.1729,0.0950,0.0778,no
gpt-5.4,0.1367,0.0948,0.0419,no
gpt-oss-120b,0.1852,0.0885,0.0966,no
grok-4.20,0.1611,0.0951,0.0660,no
kimi-k2.6,0.1401,0.0911,0.0490,no
mistral-large,0.2151,0.0922,0.1229,no
qwen3-max,0.1758,0.0955,0.0802,no

SECTION: MARKET BASELINE BY MODEL x PROMPT x CONDITION
model,prompt,condition,model_brier,market_brier,delta_model_minus_market,beats_market
claude-opus-4.6,P1,closed_book,0.1611,0.0948,0.0663,no
claude-opus-4.6,P1,shared_evidence,0.1360,0.0971,0.0390,no
claude-opus-4.6,P2,closed_book,0.1631,0.0893,0.0738,no
claude-opus-4.6,P2,shared_evidence,0.1187,0.0922,0.0265,no
claude-opus-4.6,P3,closed_book,0.1593,0.0872,0.0721,no
claude-opus-4.6,P3,shared_evidence,0.1274,0.0950,0.0323,no
deepseek-v3.2-speciale,P1,closed_book,0.1763,0.0948,0.0815,no
deepseek-v3.2-speciale,P1,shared_evidence,0.1457,0.0930,0.0527,no
deepseek-v3.2-speciale,P2,closed_book,0.1672,0.0964,0.0708,no
deepseek-v3.2-speciale,P2,shared_evidence,0.1476,0.0948,0.0527,no
deepseek-v3.2-speciale,P3,closed_book,0.1700,0.0897,0.0803,no
deepseek-v3.2-speciale,P3,shared_evidence,0.1682,0.0957,0.0725,no
gemini-3-flash,P1,closed_book,0.1980,0.0948,0.1032,no
gemini-3-flash,P1,shared_evidence,0.1666,0.0948,0.0718,no
gemini-3-flash,P2,closed_book,0.1855,0.0948,0.0907,no
gemini-3-flash,P2,shared_evidence,0.1671,0.0948,0.0723,no
gemini-3-flash,P3,closed_book,0.1899,0.0948,0.0951,no
gemini-3-flash,P3,shared_evidence,0.1702,0.0948,0.0753,no
gemini-3.1-pro,P1,closed_book,0.1657,0.0965,0.0692,no
gemini-3.1-pro,P1,shared_evidence,0.1088,0.0935,0.0153,no
gemini-3.1-pro,P2,closed_book,0.1784,0.0970,0.0814,no
gemini-3.1-pro,P2,shared_evidence,0.1060,0.0973,0.0087,no
gemini-3.1-pro,P3,closed_book,0.1783,0.0995,0.0788,no
gemini-3.1-pro,P3,shared_evidence,0.1182,0.0933,0.0249,no
gemma-4-31b,P1,closed_book,0.1765,0.0972,0.0793,no
gemma-4-31b,P1,shared_evidence,0.1731,0.0948,0.0783,no
gemma-4-31b,P2,closed_book,0.1879,0.0948,0.0931,no
gemma-4-31b,P2,shared_evidence,0.1620,0.0948,0.0672,no
gemma-4-31b,P3,closed_book,0.1961,0.0948,0.1012,no
gemma-4-31b,P3,shared_evidence,0.1757,0.0948,0.0809,no
glm-5.1,P1,closed_book,0.1750,0.0869,0.0881,no
glm-5.1,P1,shared_evidence,0.1632,0.0978,0.0654,no
glm-5.1,P2,closed_book,0.2063,0.0988,0.1075,no
glm-5.1,P2,shared_evidence,0.1535,0.0965,0.0570,no
glm-5.1,P3,closed_book,0.1912,0.0956,0.0956,no
glm-5.1,P3,shared_evidence,0.1488,0.0947,0.0541,no
gpt-5.4,P1,closed_book,0.1421,0.0948,0.0472,no
gpt-5.4,P1,shared_evidence,0.1245,0.0948,0.0296,no
gpt-5.4,P2,closed_book,0.1476,0.0948,0.0527,no
gpt-5.4,P2,shared_evidence,0.1412,0.0948,0.0464,no
gpt-5.4,P3,closed_book,0.1484,0.0948,0.0535,no
gpt-5.4,P3,shared_evidence,0.1166,0.0948,0.0217,no
gpt-oss-120b,P1,closed_book,0.1671,0.0845,0.0826,no
gpt-oss-120b,P1,shared_evidence,0.1455,0.0981,0.0474,no
gpt-oss-120b,P2,closed_book,0.1634,0.0820,0.0814,no
gpt-oss-120b,P2,shared_evidence,0.1825,0.0844,0.0981,no
gpt-oss-120b,P3,closed_book,0.2474,0.0927,0.1547,no
gpt-oss-120b,P3,shared_evidence,0.2131,0.0882,0.1249,no
grok-4.20,P1,closed_book,0.1779,0.0948,0.0830,no
grok-4.20,P1,shared_evidence,0.1548,0.0957,0.0591,no
grok-4.20,P2,closed_book,0.1764,0.0948,0.0815,no
grok-4.20,P2,shared_evidence,0.1409,0.0957,0.0452,no
grok-4.20,P3,closed_book,0.1790,0.0948,0.0842,no
grok-4.20,P3,shared_evidence,0.1375,0.0948,0.0426,no
kimi-k2.6,P1,closed_book,0.1556,0.0845,0.0711,no
kimi-k2.6,P1,shared_evidence,0.1343,0.0947,0.0396,no
kimi-k2.6,P2,closed_book,0.1622,0.0921,0.0702,no
kimi-k2.6,P2,shared_evidence,0.1149,0.0882,0.0267,no
kimi-k2.6,P3,closed_book,0.1471,0.0862,0.0609,no
kimi-k2.6,P3,shared_evidence,0.1277,0.1007,0.0270,no
mistral-large,P1,closed_book,0.1932,0.0948,0.0984,no
mistral-large,P1,shared_evidence,0.2157,0.0948,0.1209,no
mistral-large,P2,closed_book,0.1600,0.0791,0.0809,no
mistral-large,P2,shared_evidence,0.2066,0.0957,0.1109,no
mistral-large,P3,closed_book,0.2857,0.0956,0.1901,no
mistral-large,P3,shared_evidence,0.2128,0.0890,0.1238,no
qwen3-max,P1,closed_book,0.1886,0.0948,0.0938,no
qwen3-max,P1,shared_evidence,0.1481,0.0957,0.0525,no
qwen3-max,P2,closed_book,0.1860,0.0957,0.0903,no
qwen3-max,P2,shared_evidence,0.1550,0.0957,0.0594,no
qwen3-max,P3,closed_book,0.1925,0.0957,0.0968,no
qwen3-max,P3,shared_evidence,0.1843,0.0957,0.0886,no

SECTION: TOPIC EFFECTS
topic,cb_brier,se_brier,delta_se_minus_cb,n_cb,n_se
ai_technology,0.1275,0.0981,-0.0294,700,707
conflict,0.1675,0.1877,0.0202,619,624
economics,0.1235,0.0878,-0.0357,482,492
energy,0.2611,0.3828,0.1218,135,141
entertainment,0.1825,0.2132,0.0307,176,177
finance_market,0.2758,0.2187,-0.0571,489,500
geopolitics,0.1606,0.1645,0.0039,689,695
other,0.2049,0.1421,-0.0628,177,173
public_health,0.2628,0.1700,-0.0928,206,212
sports,0.1862,0.0243,-0.1619,278,284

SECTION: SOURCE EFFECTS
source,cb_brier,se_brier,delta_se_minus_cb,n_cb,n_se
manifold,0.1579,0.0855,-0.0724,1252,1275
metaculus,0.2271,0.2109,-0.0161,1284,1294
polymarket,0.1543,0.1606,0.0063,1415,1436
