category,model_key,prompt,condition,question_id,question,forecast,resolution,brier,note
overconf_low_on_YES,gpt-5.4,P2,closed_book,0xcb139a61f2cc201078f5ed717781b7227b740645d07fec2a07d2d4bcd16ff8a7,Will Crude Oil (CL) hit (HIGH) $110 by end of June?,0.0400,1,0.9216,"forecast<0.2, outcome=1"
overconf_low_on_YES,gpt-5.4,P3,closed_book,SZtPUQqhp5,Will Intel Stock (INTC) reach $63 in 2026?,0.1200,1,0.7744,"forecast<0.2, outcome=1"
overconf_low_on_YES,gpt-5.4,P3,closed_book,0x58234757c9519ddfffdbc8f33bea3b172d5a55a7fedb07c6df4fed1e97ba1ca7,Will the Detroit Pistons win the 2025–2026 NBA Central Division?,0.0300,1,0.9409,"forecast<0.2, outcome=1"
overconf_low_on_YES,gpt-5.4,P3,closed_book,0IUCA5s8EN,Will the US strike Iran by the end of February?,0.1600,1,0.7056,"forecast<0.2, outcome=1"
overconf_low_on_YES,gpt-5.4,P3,closed_book,0x3b7e03065f6437f93e3aa6fc2cb4ac0af068d7c8b0ffb32e26296b078feaa507,US strikes Nigeria by December 31?,0.0030,1,0.9940,"forecast<0.2, outcome=1"
overconf_low_on_YES,gpt-5.4,P3,closed_book,0xcb139a61f2cc201078f5ed717781b7227b740645d07fec2a07d2d4bcd16ff8a7,Will Crude Oil (CL) hit (HIGH) $110 by end of June?,0.1500,1,0.7225,"forecast<0.2, outcome=1"
overconf_low_on_YES,gpt-5.4,P3,closed_book,llC0sSgzg8,"Will Trump & Elon cut >250,000 government employees in 2025?",0.1200,1,0.7744,"forecast<0.2, outcome=1"
overconf_low_on_YES,gpt-5.4,P1,shared_evidence,0x3b7e03065f6437f93e3aa6fc2cb4ac0af068d7c8b0ffb32e26296b078feaa507,US strikes Nigeria by December 31?,0.1200,1,0.7744,"forecast<0.2, outcome=1"
overconf_low_on_YES,gpt-5.4,P2,shared_evidence,0x3b7e03065f6437f93e3aa6fc2cb4ac0af068d7c8b0ffb32e26296b078feaa507,US strikes Nigeria by December 31?,0.1200,1,0.7744,"forecast<0.2, outcome=1"
overconf_low_on_YES,gpt-5.4,P2,shared_evidence,42472,Will the US and Iran agree to a ceasefire before May 2026?,0.1000,1,0.8100,"forecast<0.2, outcome=1"
overconf_low_on_YES,gpt-5.4,P2,shared_evidence,5768,Will any senior executives of these major public companies be imprisoned for corporate crimes before,0.1200,1,0.7744,"forecast<0.2, outcome=1"
overconf_low_on_YES,gpt-5.4,P3,shared_evidence,SZtPUQqhp5,Will Intel Stock (INTC) reach $63 in 2026?,0.1900,1,0.6561,"forecast<0.2, outcome=1"
overconf_low_on_YES,gpt-5.4,P3,shared_evidence,0x3b7e03065f6437f93e3aa6fc2cb4ac0af068d7c8b0ffb32e26296b078feaa507,US strikes Nigeria by December 31?,0.1200,1,0.7744,"forecast<0.2, outcome=1"
overconf_low_on_YES,gpt-5.4,P3,shared_evidence,42472,Will the US and Iran agree to a ceasefire before May 2026?,0.0800,1,0.8464,"forecast<0.2, outcome=1"
overconf_low_on_YES,gpt-5.4,P3,shared_evidence,40865,Will Israel pass the Penal Bill (Death Penalty for Terrorists amendment) into law before April 2026?,0.1800,1,0.6724,"forecast<0.2, outcome=1"
overconf_low_on_YES,gpt-5.4,P3,shared_evidence,5768,Will any senior executives of these major public companies be imprisoned for corporate crimes before,0.1800,1,0.6724,"forecast<0.2, outcome=1"
overconf_low_on_YES,claude-opus-4.6,P1,closed_book,SZtPUQqhp5,Will Intel Stock (INTC) reach $63 in 2026?,0.0200,1,0.9604,"forecast<0.2, outcome=1"
overconf_low_on_YES,claude-opus-4.6,P1,closed_book,0x58234757c9519ddfffdbc8f33bea3b172d5a55a7fedb07c6df4fed1e97ba1ca7,Will the Detroit Pistons win the 2025–2026 NBA Central Division?,0.1000,1,0.8100,"forecast<0.2, outcome=1"
overconf_low_on_YES,claude-opus-4.6,P1,closed_book,0IUCA5s8EN,Will the US strike Iran by the end of February?,0.0600,1,0.8836,"forecast<0.2, outcome=1"
overconf_low_on_YES,claude-opus-4.6,P1,closed_book,0x3b7e03065f6437f93e3aa6fc2cb4ac0af068d7c8b0ffb32e26296b078feaa507,US strikes Nigeria by December 31?,0.0100,1,0.9801,"forecast<0.2, outcome=1"
overconf_low_on_YES,claude-opus-4.6,P1,closed_book,42472,Will the US and Iran agree to a ceasefire before May 2026?,0.1200,1,0.7744,"forecast<0.2, outcome=1"
